Operation, Gas, Fee (weis), Latency (ms), Blockchain
Transfer, 46070, 55284691050, 10253.016538, sepolia
Transfer, 46070, 55284829260, 12045.646317, sepolia
Transfer, 46070, 46761050, 23526.512478, sepolia
Transfer, 46070, 46807120, 25089.237191, sepolia
Transfer, 46070, 46714980, 47899.811982, sepolia
Transfer, 46070, 50677829260, 12013.778293, sepolia
Transfer, 46070, 46761050, 11526.240165, sepolia
Transfer, 46070, 46807120, 12834.727006, sepolia
Transfer, 46070, 46853190, 23523.173491, sepolia
Transfer, 46070, 46853190, 24107.150406, sepolia
Transfer, 46070, 46853190, 23003.017164, sepolia
Transfer, 46070, 46761050, 156362.900363, sepolia
Transfer, 46070, 46761050, 35891.790986, sepolia
Transfer, 46070, 46761050, 83804.207108, sepolia
Transfer, 46070, 46807120, 13442.725747, sepolia
Transfer, 46070, 46807120, 34479.570157, sepolia
Transfer, 46070, 46853190, 12428.338201, sepolia
Transfer, 46070, 46853190, 48995.532757, sepolia
Transfer, 46070, 50677783190, 11441.871738, sepolia
Transfer, 46070, 50677737120, 12080.580354, sepolia
Transfer, 46070, 55284737120, 11005.159297, sepolia
Transfer, 46070, 55284737120, 12231.043363, sepolia
Transfer, 46070, 46853190, 35577.424804, sepolia
Transfer, 46070, 46899260, 25140.759588, sepolia
Transfer, 46070, 46807120, 47425.877716, sepolia
Transfer, 46070, 46807120, 23801.501254, sepolia
Transfer, 46070, 46807120, 36926.716612, sepolia
Transfer, 46070, 46807120, 35109.194901, sepolia
Transfer, 46070, 46761050, 61040.158244, sepolia
Transfer, 46070, 46761050, 59094.006558, sepolia
Transfer, 46070, 46761050, 59571.043671, sepolia
Transfer, 46070, 46761050, 24713.586846, sepolia
Transfer, 46070, 46807120, 24874.104239, sepolia
Transfer, 46070, 46853190, 11076.847373, sepolia
Transfer, 46070, 46853190, 60602.334495, sepolia
Transfer, 46070, 46899260, 34908.754773, sepolia
Transfer, 46070, 46853190, 84392.502802, sepolia
Transfer, 46070, 46945330, 83423.638985, sepolia
Transfer, 46070, 47037470, 13771.682059, sepolia
Transfer, 46070, 55284967470, 10120.495313, sepolia
Transfer, 46070, 55284921400, 13321.174822, sepolia
Transfer, 46070, 55285059610, 23370.533495, sepolia
Transfer, 46070, 46070875330, 24038.110073, sepolia
Transfer, 46070, 46945330, 36790.179521, sepolia
Transfer, 46070, 47037470, 23095.388014, sepolia
Transfer, 46070, 47129610, 11916.545796, sepolia
Transfer, 46070, 46991400, 95948.7532, sepolia
Transfer, 46070, 47037470, 24348.090115, sepolia
Transfer, 46070, 47083540, 11364.455462, sepolia
Transfer, 46070, 46945330, 85483.461215, sepolia
Transfer, 46070, 10136551750, 11837.629738, sepolia
Transfer, 46070, 47083540, 22880.369099, sepolia
Transfer, 46070, 46991400, 72166.585922, sepolia
Transfer, 46070, 47037470, 24974.798931, sepolia
Transfer, 46070, 47083540, 35671.023939, sepolia
Transfer, 46070, 47037470, 59109.433452, sepolia
Transfer, 46070, 47083540, 24124.192035, sepolia
Transfer, 46070, 47175680, 11939.06239, sepolia
Transfer, 46070, 47129610, 49141.807332, sepolia
Transfer, 46070, 47129610, 23348.814261, sepolia
Transfer, 46070, 47037470, 83809.715289, sepolia
Transfer, 46070, 46899260, 83617.566883, sepolia
Transfer, 46070, 46070875330, 12247.441966, sepolia
Transfer, 46070, 55284875330, 11713.431199999999, sepolia
Transfer, 46070, 55284921400, 12140.042696, sepolia
Transfer, 46070, 55284967470, 13197.316363, sepolia
Transfer, 46070, 55284967470, 11565.375727999999, sepolia
Transfer, 46070, 46807120, 84280.380336, sepolia
Transfer, 46070, 55284783190, 11414.698471, sepolia
Transfer, 46070, 55284783190, 11695.894352, sepolia
Transfer, 46070, 46899260, 37196.751904, sepolia
Transfer, 46070, 46945330, 22947.259255, sepolia
Transfer, 46070, 46991400, 12055.818846, sepolia
Transfer, 46070, 47129610, 48174.51701, sepolia
Transfer, 46070, 54040110, 24779.809879, sepolia
Transfer, 46070, 50678151750, 11103.967592, sepolia
Transfer, 46070, 55285197820, 12384.594112, sepolia
Transfer, 46070, 55285105680, 11761.999044, sepolia
Transfer, 46070, 55285243890, 11753.215717, sepolia
Transfer, 46070, 55285105680, 11653.718498, sepolia
Transfer, 46070, 55285059610, 13076.867601, sepolia
Transfer, 46070, 55285059610, 11779.191215, sepolia
Transfer, 46070, 46071151750, 11356.390149, sepolia
Transfer, 46070, 55285151750, 11760.798479000001, sepolia
Transfer, 46070, 55285197820, 13393.594111, sepolia
Transfer, 46070, 50678013540, 10978.68972, sepolia
Transfer, 46070, 55285013540, 12106.372719, sepolia
Transfer, 46070, 55284967470, 12358.550763, sepolia
Transfer, 46070, 55285151750, 12477.728854, sepolia
Transfer, 46070, 55285105680, 10571.834351, sepolia
Transfer, 46070, 55285105680, 12304.895109, sepolia
Transfer, 46070, 55285105680, 12514.900097, sepolia
Transfer, 46070, 55285013540, 11370.212363, sepolia
Transfer, 46070, 46991400, 11631.479361, sepolia
Transfer, 46070, 46853190, 96388.644585, sepolia
Transfer, 46070, 46761050, 60271.649043, sepolia
Transfer, 46070, 46761050, 23766.976911, sepolia
Transfer, 46070, 46807120, 12120.525997, sepolia
Transfer, 63170, 63170758040, 13788.963714, holesky
Transfer, 46070, 46070552840, 11322.444186, holesky
Transfer, 46070, 46070598910, 13464.341397, holesky
Transfer, 46070, 46070598910, 12548.621786, holesky
Transfer, 46070, 46070598910, 10270.872929, holesky
Transfer, 46070, 46070598910, 11522.824763, holesky
Transfer, 46070, 46070598910, 12213.143341, holesky
Transfer, 46070, 46070552840, 13408.519404, holesky
Transfer, 46070, 46070552840, 10841.706493, holesky
Transfer, 46070, 46070552840, 11580.057983, holesky
Transfer, 46070, 46070552840, 12597.632256, holesky
Transfer, 46070, 46070552840, 11593.976367, holesky
Transfer, 46070, 46070552840, 12150.539197, holesky
Transfer, 46070, 46070552840, 12693.454717, holesky
Transfer, 46070, 46070552840, 11592.096178, holesky
Transfer, 46070, 46070552840, 14249.065444, holesky
Transfer, 46070, 46070552840, 10144.24755, holesky
Transfer, 46070, 46070552840, 10827.860214, holesky
Transfer, 46070, 46070552840, 13281.3544, holesky
Transfer, 46070, 46070552840, 12605.858456, holesky
Transfer, 46070, 46070552840, 11174.466136, holesky
Transfer, 46070, 46070552840, 11063.132556, holesky
Transfer, 46070, 46070598910, 12068.218005, holesky
Transfer, 46070, 46070598910, 12562.773505, holesky
Transfer, 46070, 46070598910, 11376.294558, holesky
Transfer, 46070, 46070598910, 12349.478289, holesky
Transfer, 46070, 46070598910, 11590.130542, holesky
Transfer, 46070, 46070598910, 48509.393621, holesky
Transfer, 46070, 46070644980, 23705.931321, holesky
Transfer, 46070, 46070644980, 12998.126245, holesky
Transfer, 46070, 46070598910, 11054.656184, holesky
Transfer, 46070, 46070598910, 13406.879548, holesky
Transfer, 46070, 46070598910, 12760.285629, holesky
Transfer, 46070, 46070598910, 24424.083782, holesky
Transfer, 46070, 46070598910, 9312.079791, holesky
Transfer, 46070, 46070644980, 48709.146216, holesky
Transfer, 46070, 46070644980, 12149.920212, holesky
Transfer, 46070, 46070644980, 11026.308652, holesky
Transfer, 46070, 46070644980, 12693.737849, holesky
Transfer, 46070, 46070644980, 12336.594316, holesky
Transfer, 46070, 55284598910, 11844.86113, holesky
Transfer, 46070, 46070598910, 30751.148549, holesky
Transfer, 46070, 46070598910, 16333.427029, holesky
Transfer, 46070, 46070552840, 12514.375602, holesky
Transfer, 46070, 50677644980, 12932.642866, holesky
Transfer, 46070, 46070552840, 10105.807745, holesky
Transfer, 46070, 46070552840, 12898.722809, holesky
Transfer, 46070, 50677552840, 11718.167976, holesky
Transfer, 46070, 46070506770, 27088.249222, holesky
Transfer, 46070, 46070506770, 12600.010799, holesky
Transfer, 46070, 46070460700, 21797.946758, holesky
Transfer, 46070, 46070460700, 10860.794859, holesky
Transfer, 46070, 46070460700, 11463.011674, holesky
Transfer, 46070, 46070460700, 12100.548065, holesky
Transfer, 46070, 46070460700, 11875.833826, holesky
Transfer, 46070, 46070460700, 15606.750105, holesky
Transfer, 46070, 46070460700, 10554.969424, holesky
Transfer, 46070, 46070460700, 11152.027816, holesky
Transfer, 46070, 46070460700, 10660.211483, holesky
Transfer, 46070, 46070460700, 12437.331925, holesky
Transfer, 46070, 46070460700, 11321.115576, holesky
Transfer, 46070, 46070460700, 12260.539803, holesky
Transfer, 46070, 46070460700, 11804.021434, holesky
Transfer, 46070, 50677460700, 12840.671766, holesky
Transfer, 46070, 46070460700, 11741.110054, holesky
Transfer, 46070, 46070460700, 12615.631265, holesky
Transfer, 46070, 46070506770, 24364.920336, holesky
Transfer, 46070, 50677460700, 11369.710238, holesky
Transfer, 46070, 46070552840, 48779.556742, holesky
Transfer, 46070, 46070552840, 48043.13855, holesky
Transfer, 46070, 46070552840, 11348.797501000001, holesky
Transfer, 46070, 46070552840, 12662.246632, holesky
Transfer, 46070, 46070552840, 11093.357877, holesky
Transfer, 46070, 46070506770, 23841.417218, holesky
Transfer, 46070, 46070506770, 11328.94148, holesky
Transfer, 46070, 46070506770, 12579.588536, holesky
Transfer, 46070, 46070506770, 12036.444662, holesky
Transfer, 46070, 46070506770, 24175.292613, holesky
Transfer, 46070, 46070460700, 22927.952099, holesky
