Operation, Gas, Fee (weis), Latency (ms), Blockchain
Transfer,35050,35050385550,11445.967912, holesky
Transfer,35050,35050385550,23474.859021, holesky
Transfer,35050,38555420600,11790.758506, holesky
Transfer,35050,35050385550,23083.951399, holesky
Transfer,35050,35050385550,14394.402343, holesky
Transfer,35050,38555420600,34870.182439, holesky
Transfer,35050,35050385550,11853.670996, holesky
Transfer,35050,35050385550,11284.618521, holesky
Transfer,35050,35050385550,11774.923634, holesky
Transfer,35050,38555420600,12940.137437, holesky
Transfer,35050,35050385550,12193.08569, holesky
Transfer,35050,35050385550,11910.981323, holesky
Transfer,35050,35050385550,11710.714501, holesky
Transfer,35050,35050385550,35908.267242, holesky
Transfer,35050,35050385550,10898.324806, holesky
Transfer,35050,35050385550,25727.343918, holesky
Transfer,35050,35050385550,10628.132084, holesky
Transfer,35050,42060420600,26064.398864, holesky
Transfer,35050,35050350500,9775.105801, holesky
Transfer,35050,35050350500,13322.759014, holesky
Transfer,35050,35050350500,11568.372986, holesky
Transfer,35050,35050350500,12569.128789, holesky
Transfer,35050,42060420600,23980.685941, holesky
Transfer,35050,35050350500,20212.160492, holesky
Transfer,35050,35050350500,12192.388811, holesky
Transfer,35050,35050350500,2322.689555, holesky
Transfer,35050,35050350500,36343.495186, holesky
Transfer,35050,35050385550,50783.80073, holesky
Transfer,35050,35050420600,21729.678815, holesky
Transfer,35050,35050420600,11864.899583, holesky
Transfer,35050,35050385550,23984.664942, holesky
Transfer,35050,35050420600,23806.483879, holesky
Transfer,35050,42060736050,11122.672494, holesky
Transfer,35050,35050000420600,14301.498839, holesky
Transfer,35050,42060455650,11307.182068, holesky
Transfer,35050,43813025750,23144.268938, holesky
Transfer,35050,38555420600,12583.062334, holesky
Transfer,35050,42060455650,25782.543531, holesky
Transfer,35050,42060455650,10305.535074, holesky
Transfer,35050,43812885550,10790.019992, holesky
Transfer,35050,35050000385550,12586.567288, holesky
Transfer,35050,35050385550,11227.996117, holesky
Transfer,35050,38555385550,12890.717863, holesky
Transfer,35050,35050350500,13876.18285, holesky
Transfer,35050,35050350500,10278.040657, holesky
Transfer,35050,42060420600,16071.079506, holesky
Transfer,35050,35050350500,7504.704027, holesky
Transfer,35050,35050350500,12236.399301, holesky
Transfer,35050,35050350500,26099.575381, holesky
Transfer,35050,42060420600,10236.213124, holesky
Transfer,35050,42060385550,11700.049853, holesky
Transfer,35050,42060420600,11215.303386, holesky
Transfer,35050,42060350500,12398.209407, holesky
Transfer,35050,35050315450,11305.454165, holesky
Transfer,35050,35050315450,13620.579089, holesky
Transfer,35050,35050315450,11163.522199, holesky
Transfer,35050,35050315450,24862.930853, holesky
Transfer,35050,35050315450,10562.227399, holesky
Transfer,35050,35050315450,12252.239686, holesky
Transfer,35050,35050315450,13139.419707, holesky
Transfer,35050,35050315450,11914.690117, holesky
Transfer,35050,35050315450,11149.767838, holesky
Transfer,35050,35050315450,12377.835679, holesky
Transfer,35050,35050315450,13968.925899, holesky
Transfer,35050,35050315450,9499.175544, holesky
Transfer,35050,35050315450,12424.680319, holesky
Transfer,35050,35050315450,13941.189058, holesky
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,

Transfer, 35050, 892759566450, 13185.811976, sepolia
Transfer, 35050, 819460763250, 11870.325774, sepolia
Transfer, 35050, 745845213200, 11626.983112, sepolia
Transfer, 35050, 829297685950, 12344.492986, sepolia
Transfer, 35050, 799788074500, 12033.827836, sepolia
Transfer, 35050, 742966486600, 12497.805436999999, sepolia
Transfer, 35050, 725233429800, 11605.683331, sepolia
Transfer, 35050, 747969453500, 11883.23669, sepolia
Transfer, 35050, 821994948350, 12271.245624, sepolia
Transfer, 35050, 747864373600, 11584.280068, sepolia
Transfer, 35050, 907185445450, 12130.051508, sepolia
Transfer, 35050, 805627930250, 11928.220815, sepolia
Transfer, 35050, 834892437050, 11757.502195000001, sepolia
Transfer, 35050, 812643993900, 12198.6377, sepolia
Transfer, 35050, 749441833900, 12256.405623, sepolia
Transfer, 35050, 745255917550, 11695.840051, sepolia
Transfer, 35050, 792787678200, 13214.705623, sepolia
Transfer, 35050, 766934027100, 10590.187971, sepolia
Transfer, 35050, 798569491150, 13351.590852, sepolia
Transfer, 35050, 826846043600, 10975.936504, sepolia
Transfer, 35050, 862808570350, 12006.74024, sepolia
Transfer, 35050, 717346619000, 59832.631967, sepolia
Transfer, 35050, 786880596550, 12946.405093, sepolia
Transfer, 35050, 821710587700, 11038.99499, sepolia
Transfer, 35050, 748573610350, 11930.298951, sepolia
Transfer, 35050, 874585510550, 12697.344922, sepolia
Transfer, 35050, 964359250800, 11664.024938, sepolia
Transfer, 35050, 811438764600, 11635.235603, sepolia
Transfer, 35050, 861096027350, 12454.324679, sepolia
Transfer, 35050, 851688011500, 12990.207943, sepolia
Transfer, 35050, 745323178500, 10470.854157, sepolia
Transfer, 35050, 774105572550, 13904.793688, sepolia
