Operation, Gas, Fee (weis), Latency (ms), Blockchain
TransferByPartition, 46865, 46865000328055, 17.730333, hardhat
TransferByPartition, 46865, 46865000328055, 15.655683, hardhat
TransferByPartition, 46865, 46865000328055, 16.324072, hardhat
TransferByPartition, 46865, 46865000328055, 15.472996, hardhat
TransferByPartition, 46865, 46865000328055, 16.011491, hardhat
TransferByPartition, 46865, 46865000328055, 15.67412, hardhat
TransferByPartition, 46865, 46865000328055, 14.840294, hardhat
TransferByPartition, 46865, 46865000328055, 14.83324, hardhat
TransferByPartition, 46865, 33276399520, 88325.503645, sepolia
TransferByPartition, 46865, 46937359560, 23638.468676, sepolia
TransferByPartition, 46865, 50555009505, 12300.545969, sepolia
TransferByPartition, 46865, 55395882815, 59092.344946, sepolia
TransferByPartition, 46865, 53703259610, 25406.394093, sepolia
TransferByPartition, 46865, 56890126475, 10831.355009, sepolia
TransferByPartition, 46865, 103258919855, 11863.106024, sepolia
TransferByPartition, 46865, 104781798030, 11767.627958000001, sepolia
TransferByPartition, 46865, 54751582795, 12816.023577, sepolia
TransferByPartition, 46865, 105064534575, 11485.273385, sepolia
TransferByPartition, 46865, 103521082665, 12913.844841, sepolia
TransferByPartition, 46865, 52378714115, 22469.104555, sepolia
TransferByPartition, 46865, 92112032740, 12429.983138, sepolia
TransferByPartition, 46865, 94308220370, 11656.628015, sepolia
TransferByPartition, 46865, 90230121800, 11936.964293, sepolia
TransferByPartition, 46865, 49345189530, 12128.077154, sepolia
TransferByPartition, 46865, 96173213045, 12229.482411, sepolia
TransferByPartition, 46865, 95461802345, 13197.631685, sepolia
TransferByPartition, 46865, 92347435635, 10835.684021000001, sepolia
TransferByPartition, 46865, 92480485370, 12009.116187, sepolia
TransferByPartition, 46865, 101987378675, 12329.104167, sepolia
TransferByPartition, 46865, 90330694090, 11634.846816, sepolia
TransferByPartition, 46865, 91533906100, 12729.886781, sepolia
TransferByPartition, 46865, 90834727165, 10867.914527, sepolia
TransferByPartition, 46865, 89096785505, 13062.107676, sepolia
TransferByPartition, 46865, 49495251260, 72241.977573, sepolia
TransferByPartition, 46865, 48015910670, 48327.349535, sepolia
TransferByPartition, 46865, 48335529970, 70671.091184, sepolia
TransferByPartition, 46865, 37872309475, 36883.49992, sepolia
TransferByPartition, 46865, 41114805095, 10940.653438, sepolia
